Price,Details,Title,Location
"₹ 4,500",2 BHK - 2 Bathroom - 1000 sqft,Fully indipendent Need room partner,"ASHOKA GARDEN HOUSING BOARD COLONY, BHOPAL"
"₹ 4,850",2 BHK - 1 Bathroom - 1 sqft,Male bachelor Roommate required for a room,"MP NAGAR ZONE 1, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 850 sqft,Newly 2 bhk flat in rohit nagar,"ROHIT NAGAR, BHOPAL"
"₹ 26,000",2 BHK - 2 Bathroom - 800 sqft,"2BHK Furnished flat, Super prime location of Rani kamalapati stn","ARERA COLONY, BHOPAL"
"₹ 10,500",2 BHK - 2 Bathroom - 600 sqft,"2 bhk flat in Bhawani Nagar, near Indrapuri A sector","INDRAPURI SECTOR A, BHOPAL"
"₹ 3,500",2 BHK - 2 Bathroom - 1200 sqft,2 bhk flat available for female,"GURU NANAKPURA, BHOPAL"
"₹ 7,000",2 BHK - 2 Bathroom - 450 sqft,A 2 BHK FLAT mainly for bachelors,"ASHOKA GARDEN, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 670 sqft,The flat is located in posh area: 12 No. stop Arera colony.,"ARERA COLONY, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 650 sqft,"Fl7य7तat for rent in Ajanta Apartment, Arera Colony bhopal","ARERA COLONY, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 700 sqft,Good property need a room partner girls and boys,"ISHWAR NAGAR, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 750 sqft,2 bhk flat semi furnished in trilanga Colony,"ARERA COLONY, BHOPAL"
"₹ 7,000",2 Bds - 1 Ba - 600 ft2,Flat for rent,"PEER GATE AREA, BHOPAL"
"₹ 7,500",2 Bds - 1 Ba - 750 ft2,"Walking distance bus stop, market, coaching Institute,","JHANGIRABAD, BHOPAL"
"₹ 16,000",2 BHK - 2 Bathroom - 1000 sqft,Prabhatam heights,"PATEL NAGAR, RAISEN"
"₹ 6,000",2 BHK - 1 Bathroom - 1000 sqft,2 ROOM FOR RENT,"BARKHERI, BHOPAL"
"₹ 2,500",2 BHK - 1 Bathroom - 1000 sqft,Flatmate required for 2500-3000 monthly rent.,"PRAKASH NAGAR, BHOPAL"
"₹ 6,500",,2 bhk ka full independent and flat mate chahiye,"NEW MINAL RESIDENCY, BHOPAL"
"₹ 6,500",2 BHK - 2 Bathroom - 14 sqft,2 bhk ka full independent and flat met chahiye,"NEW MINAL RESIDENCY, BHOPAL"
"₹ 10,000",2 BHK - 1 Bathroom - 1000 sqft,2 bhk room rent,"NARILA SHANKARI BALAJI NAGAR, BHOPAL"
"₹ 9,000",2 BHK - 1 Bathroom - 900 sqft,2 BHK flat for rent in moon classic appartment koh e fiza bhopal,"KOH E FIZA, BHOPAL"
"₹ 9,000",2 BHK - 1 Bathroom - 1000 sqft,Two bedroom hall flat on rent in Kohefiza,"KOH E FIZA, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 500 sqft,2BHK Flat Newly painted and Clean Flat for Boys in Indrapuri C sector,"INDRAPURI C SECTOR, BHOPAL"
"₹ 2,500",2 BHK - 1 Bathroom - 60 sqft,Need flatmates,"PIPLANI, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 700 sqft,2bhk Fully independent flat for everyone,"VARDHMAN GREEN CITY, BHOPAL"
"₹ 8,000",2 BHK - 1 Bathroom - 800 sqft,2 BHK portion of individual house available for rent,"RUCHI LIFE SCAPES, BHOPAL"
"₹ 4,500",2 BHK - 2 Bathroom - 700 sqft,Need flatmate,"INDRAPURI C SECTOR, BHOPAL"
"₹ 6,500",2 BHK - 2 Bathroom - 900 sqft,2 BHK furnished flat for rent,"SWARN KUNJ COLONY KATARA, BHOPAL"
"₹ 28,00,000",2 BHK - 2 Bathroom - 1000 sqft,2 BHK semi furnished,"BAGH MUNGALIYA, BHOPAL"
"₹ 7,200",2 BHK - 2 Bathroom - 750 sqft,"2 BHK Flat for Rent in Signature 360, Katara Hills, Bhopal","KATARA HILLS, BHOPAL"
"₹ 13,000",2 BHK - 2 Bathroom - 1500 sqft,2bhk falt for rent semi furnished Danish kunj near Narayana school,"KOLAR ROAD, BHOPAL"
"₹ 8,000",2 BHK - 2 Bathroom - 500 sqft,Looking for female Roommate,"KATARA HILLS, BHOPAL"
"₹ 16,000",2 BHK - 2 Bathroom - 1050 sqft,2 BHK fully furnished falt rent sakun samriddhi Lalita nagar Kolar,"KOLAR ROAD, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 1043 sqft,2bhk only 10k,"AYODHYA NAGAR, BHOPAL"
